slug,name,github-url
immich,Immich,https://github.com/alextran1502
univer,Univer Open Source Projects,https://github.com/dream-num/univer
waasabi,Waasabi open source event streaming framework,https://github.com/baytechc
blosc,Blosc,https://github.com/Blosc/c-blosc2
dkfm,DKFM,https://github.com/devops-kung-fu
django-import-export,django-import-export,https://github.com/django-import-export
witchcraft,Witchcraft,https://github.com/expede/witchcraft
babybuddy,Baby Buddy,https://github.com/babybuddy
murmurations,Murmurations,https://github.com/MurmurationsNetwork
pinpointsimulations,Pinpoint Simulations,https://github.com/Pinpoint-Simulations
vvvebjs,Vvveb,https://github.com/givanz/VvvebJs
catenarymaps,Catenary,https://github.com/catenarytransit
ultimate-backend,XRAPH Projects,https://github.com/juicycleff
spiral-collective,Spiral Collective,https://github.com/mrakgr/The-Spiral-Language
dynamoose,Dynamoose,https://github.com/dynamoose/dynamoose
crypto-blog,Crypto blog,https://github.com/matejko0077
instantos,InstantOS,https://github.com/instantos
rustpython,RustPython,https://github.com/RustPython
semantic-release,semantic-release,https://github.com/semantic-release
django-defectdojo,DefectDojo,https://github.com/DefectDojo
houdini,Houdini,https://github.com/HoudiniGraphQL
saasfly,Saasfly,https://github.com/saasfly/saasfly
rust-battery,rust-battery,https://github.com/svartalf/rust-battery
pmd,PMD,https://github.com/pmd
lucide-icons,Lucide Icons,https://github.com/lucide-icons
laravel-wallet,Laravel Wallet,https://github.com/bavix
network-time-foundation,Network Time Foundation,https://github.com/nwtime
go-fed-activitypub-labs,Go-Fed ActivityPub Labs,https://github.com/go-fed
breathe,Breathe,https://github.com/michaeljones/breathe
caencamp,CaenCamp,https://github.com/CaenCamp
open-credit-network,Open Credit Network,https://github.com/ic3network/mcc
amogos,AmogOS,https://github.com/Amog-OS/AmogOS
nakas,North American Karuta Appreciation Society,https://github.com/fudawiki
civic-tech-field-guide,Civic Tech Field Guide,https://github.com/sprblm/CTFG
openbootcamp,OpenBootcamp,https://github.com/open-bootcamp
deskreen,Deskreen,https://github.com/pavlobu/deskreen
pgai-collective,Partnership on Generative AI,https://github.com/Partnership-on-Generative-AI/About
pybamm,PyBaMM,https://github.com/pybamm-team/
quantecon,QuantEcon,https://github.com/QuantEcon
greenweb-collective,Green Web Foundation Collective,https://github.com/thegreenwebfoundation
